Date,Close,High,Low,Open,Volume
2023-09-27,7932.60595703125,8044.332801496479,7932.60595703125,7954.951325924296,84345000
2023-09-29,7887.91552734375,7954.951636641289,7887.91552734375,7887.91552734375,118960000
2023-10-02,8111.36962890625,8133.714999784779,7932.606661878012,7954.952032756542,93663000
2023-10-03,8223.0966796875,8223.0966796875,8066.679079802139,8111.369822626528,98380200
2023-10-04,8223.0966796875,8267.787422511889,8156.060565450917,8223.0966796875,112582800
2023-10-05,8111.36962890625,8223.096483298898,8111.36962890625,8223.096483298898,72855700
2023-10-06,8066.67822265625,8133.714329769737,8066.67822265625,8133.714329769737,53344400
2023-10-09,8089.0234375,8156.059543335635,8066.678068888121,8066.678068888121,43774500
2023-10-10,7977.296875,8044.332983193278,7977.296875,8044.332983193278,71966100
2023-10-11,7977.296875,8066.678352591037,7977.296875,7977.296875,84305800
2023-10-12,8089.0234375,8133.7141747237565,8044.332700276243,8044.332700276243,71064500
2023-10-13,8111.36962890625,8156.060370663309,8066.678887149191,8133.714999784779,62941800
2023-10-16,8133.71435546875,8156.0597245771805,8089.023617251889,8156.0597245771805,29429200
2023-10-17,7999.64208984375,8111.368934673969,7999.64208984375,8089.023565707926,59606000
2023-10-18,7910.2607421875,7999.642219500353,7910.2607421875,7977.29685017214,50919200
2023-10-19,7820.87939453125,7910.260873325893,7820.87939453125,7887.915503627232,89509700
2023-10-20,8021.98681640625,8066.6775507594875,7798.533144640059,7798.533144640059,64554500
2023-10-23,7910.2607421875,7977.29685017214,7910.2607421875,7932.606111515714,50633500
2023-10-24,7843.224609375,7932.606086404914,7843.224609374999,7843.224609374999,76963200
2023-10-25,7932.60595703125,7977.296694817342,7887.915219245158,7887.915219245158,54748400
2023-10-26,7798.5341796875,7999.64251096884,7798.5341796875,7977.297140826468,63199400
2023-10-27,7776.18798828125,7865.56945941092,7776.18798828125,7798.533356063667,52450700
2023-10-30,7910.2607421875,7910.2607421875,7776.18852621822,7776.18852621822,51958200
2023-10-31,7820.87939453125,7887.915503627232,7798.534024832589,7865.5701339285715,64907600
2023-11-01,7686.80712890625,7843.224715831669,7686.80712890625,7820.8793462708945,67027600
2023-11-02,7910.2607421875,7954.951480843926,7798.533895546434,7798.533895546434,56050900
2023-11-03,7954.95166015625,7999.642399820049,7910.260920492451,7977.297029988149,60414100
2023-11-06,8089.0234375,8089.0234375,7999.641963052486,8021.987331664364,84994200
2023-11-07,8021.98681640625,8066.6775507594875,7954.950714876392,8044.332183582868,60648200
2023-11-08,8044.333984375,8044.333984375,7954.952495659722,7999.643240017362,31829300
